x_nodes,h_total,u,T_total,T,p_total,p,dp_total,rho_total,rho,c,eta,Lambda,v,Re,Ma
-2.4225,1144336.435252339,703634.8757710889,96.8,96.64062471201566,13370710.816017501,13310012.26276622,5.299422195098562,30.39623946543864,30.340271647892337,1023.1639044551844,5.593904322002132e-06,0.010854838528980202,62.14389424710347,10111699.40089455,0.060736988449757646
-2.42225,1144336.435252339,703634.9234670133,96.8,96.64062457336684,13370705.516595306,13310006.940831063,5.299423848129531,30.39622991424995,30.34026206558411,1023.1637816182374,5.593903507143989e-06,0.010854838486630193,62.14391387389337,10111700.873855352,0.06073701492404907
-2.422,1144336.435252339,703634.9711629665,96.8,96.64062443471781,13370700.217171459,13310001.618894195,5.299425501162467,30.396220363055985,30.340252483270568,1023.1636587812565,5.593902692285603e-06,0.010854838444280172,62.14393350070656,10111702.346817024,0.06073704139837163
-2.42175,1144336.435252339,703635.0188589472,96.8,96.64062429606855,13370694.917745957,13309996.296955675,5.299427154197363,30.396210811856783,30.340242900951747,1023.1635359442447,5.593901877426988e-06,0.010854838401930139,62.14395312754296,10111703.819779538,0.06073706787272506
-2.4215,1144336.435252339,703635.066554956,96.8,96.64062415741908,13370689.618318804,13309990.975015474,5.299428807234217,30.396201260652347,30.340233318627654,1023.1634131072003,5.593901062568137e-06,0.010854838359580097,62.14397275440253,10111705.292742904,0.06073709434710944
-2.42125,1144336.435252339,703635.1142509931,96.8,96.64062401876943,13370684.318889996,13309985.653073588,5.299430460273036,30.396191709442643,30.340223736298263,1023.1632902701238,5.593900247709052e-06,0.010854838317230036,62.14399238128538,10111706.765707128,0.06073712082152482
-2.4210000000000003,1144336.435252339,703635.1619470583,96.8,96.64062388011956,13370679.019459536,13309980.331130033,5.299432113313815,30.396182158227685,30.34021415396358,1023.1631674330156,5.593899432849731e-06,0.010854838274879965,62.14401200819145,10111708.238672202,0.06073714729597114
-2.42075,1144336.435252339,703635.2096431515,96.8,96.64062374146947,13370673.720027423,13309975.00918479,5.299433766356552,30.396172607007504,30.340204571623634,1023.163044595875,5.593898617990174e-06,0.010854838232529878,62.14403163512071,10111709.711638136,0.060737173770448405
-2.4205,1144336.435252339,703635.2573392728,96.8,96.64062360281918,13370668.420593657,13309969.687237874,5.299435419401249,30.396163055782072,30.3401949892784,1023.162921758702,5.593897803130384e-06,0.010854838190179777,62.14405126207319,10111711.184604919,0.06073720024495664
-2.4202500000000002,1144336.435252339,703635.3050354221,96.8,96.64062346416866,13370663.121158237,13309964.365289278,5.299437072447911,30.396153504551386,30.34018540692787,1023.1627989214968,5.593896988270359e-06,0.010854838147829667,62.14407088904892,10111712.657572556,0.06073722671949587
-2.42,1144336.435252339,703635.3527315994,96.8,96.64062332551794,13370657.821721165,13309959.043339005,5.299438725496533,30.396143953315445,30.34017582457205,1023.1626760842605,5.593896173410097e-06,0.010854838105479544,62.144090516047875,10111714.130541049,0.060737253194066004
-2.41975,1144336.435252339,703635.4004278046,96.8,96.64062318686702,13370652.522282438,13309953.721387066,5.299440378547115,30.396134402074274,30.340166242210966,1023.1625532469922,5.593895358549601e-06,0.010854838063129405,62.14411014307002,10111715.603510398,0.060737279668667064
-2.4195,1144336.435252339,703635.4481240376,96.8,96.64062304821587,13370647.22284206,13309948.399433443,5.2994420315996535,30.39612485082786,30.3401566598446,1023.1624304096911,5.5938945436888726e-06,0.010854838020779254,62.14412977011538,10111717.076480594,0.06073730614329911
-2.41925,1144336.435252339,703635.4958202996,96.8,96.64062290956453,13370641.923400028,13309943.077478135,5.299443684654159,30.396115299576174,30.340147077472924,1023.162307572358,5.593893728827905e-06,0.01085483797842909,62.144149397184,10111718.54945165,0.06073733261796215
-2.419,1144336.435252339,703635.5435165889,96.8,96.64062277091297,13370636.623956343,13309937.755521141,5.299445337710623,30.396105748319258,30.340137495095973,1023.1621847349921,5.593892913966704e-06,0.010854837936078913,62.14416902427583,10111720.022423558,0.06073735909265618
-2.41875,1144336.435252339,703635.5912129066,96.8,96.6406226322612,13370631.324511005,13309932.433562491,5.299446990769052,30.39609619705709,30.34012791271374,1023.1620618975954,5.593892099105269e-06,0.010854837893728727,62.14418865139089,10111721.49539632,0.06073738556738109
-2.4185,1144336.435252339,703635.6389092524,96.8,96.6406224936092,13370626.025064014,13309927.111602144,5.299448643829435,30.396086645789694,30.340118330326234,1023.1619390601657,5.593891284243596e-06,0.01085483785137852,62.144208278529135,10111722.96836994,0.060737412042136986
-2.41825,1144336.435252339,703635.6866056263,96.8,96.64062235495703,13370620.72561537,13309921.789640125,5.299450296891783,30.39607709451702,30.340108747933424,1023.1618162227044,5.593890469381691e-06,0.010854837809028307,62.14422790569064,10111724.44134441,0.06073743851692385
-2.418,1144336.435252339,703635.7343020276,96.8,96.6406222163046,13370615.426165072,13309916.467676437,5.29945194995609,30.396067543239123,30.340099165535342,1023.1616933852108,5.593889654519551e-06,0.010854837766678078,62.14424753287535,10111725.914319731,0.06073746499174165
-2.41775,1144336.435252339,703635.7819984575,96.8,96.640622077652,13370610.126713123,13309911.14571108,5.299453603022359,30.396057991955974,30.340089583131977,1023.1615705476855,5.593888839657177e-06,0.010854837724327836,62.14426716008327,10111727.387295906,0.06073749146659039
-2.4175,1144336.435252339,703635.8296949156,96.8,96.64062193899917,13370604.82725952,13309905.823744014,5.299455256090587,30.39604844066757,30.34008000072332,1023.1614477101268,5.593888024794563e-06,0.01085483768197758,62.14428678731443,10111728.860272942,0.06073751794147018
-2.41725,1144336.435252339,703635.8773914019,96.8,96.64062180034614,13370599.527804265,13309900.501775287,5.2994569091607815,30.39603888937392,30.34007041830937,1023.1613248725372,5.593887209931717e-06,0.010854837639627316,62.14430641456883,10111730.33325083,0.06073754441638088
-2.4170000000000003,1144336.435252339,703635.9250879158,96.8,96.64062166169292,13370594.228347355,13309895.179804888,5.299458562232933,30.39602933807502,30.340060835890146,1023.1612020349154,5.593886395068635e-06,0.010854837597277034,62.14432604184643,10111731.80622957,0.06073757089132251
-2.41675,1144336.435252339,703635.9727844578,96.8,96.64062152303944,13370588.928888794,13309889.857832791,5.299460215307045,30.39601978677088,30.34005125346563,1023.1610791972611,5.5938855802053205e-06,0.010854837554926737,62.14434566914727,10111733.279209163,0.06073759736629515
-2.4165,1144336.435252339,703636.020481028,96.8,96.6406213843858,13370583.629428579,13309884.535859043,5.299461868383118,30.396010235461496,30.34004167103585,1023.1609563595752,5.593884765341771e-06,0.010854837512576434,62.1443652964713,10111734.75218961,0.06073762384129869
-2.4162500000000002,1144336.435252339,703636.0681776262,96.8,96.64062124573191,13370578.32996671,13309879.2138836,5.2994635214611545,30.39600068414685,30.34003208860075,1023.1608335218568,5.59388395047798e-06,0.010854837470226112,62.1443849238186,10111736.225170918,0.06073765031633325
