x_nodes,h_total,u,T_total,T,p_total,p,dp_total,rho_total,rho,c,eta,Lambda,v,Re,Ma
-0.04579501239450081,1127853.7572210098,716571.8055704337,94.777,94.77179677721617,10362928.170267597,10361442.1376235,0.04462762299343146,25.198466842613897,25.196930497406985,952.9012628212798,5.1353768612257e-06,0.010181396401012907,10.522836611103665,4130457.2558636316,0.011042945393889421
-0.04554364838254624,1127853.7572210098,716571.8060605366,94.777,94.77179677716894,10362928.125639973,10361442.092989892,0.04462762315347435,25.198466749221435,25.196930404005602,952.9012618234331,5.1353768544091644e-06,0.010181396399784307,10.522836650110301,4130457.26134627,0.011042945446387835
-0.04529228437059167,1127853.7572210098,716571.8065506393,94.777,94.77179677712175,10362928.08101235,10361442.048356298,0.04462762331351719,25.198466655828987,25.196930310604248,952.9012608255863,5.135376847592632e-06,0.010181396398555706,10.522836689116925,4130457.266828904,0.011042945498886235
-0.0450409203586371,1127853.7572210098,716571.8070407421,94.777,94.77179677707456,10362928.036384726,10361442.003722705,0.04462762347356005,25.19846656243653,25.196930217202876,952.9012598277398,5.135376840776098e-06,0.010181396397327104,10.522836728123558,4130457.272311541,0.01104294555138464
-0.04478955634668253,1127853.7572210098,716571.8075308452,94.777,94.77179677702735,10362927.991757102,10361441.959089106,0.044627623633602904,25.198466469044078,25.19693012380151,952.9012588298935,5.135376833959565e-06,0.010181396396098503,10.522836767130185,4130457.2777941753,0.011042945603883038
-0.04453819233472796,1127853.7572210098,716571.8080209479,94.777,94.77179677698015,10362927.947129479,10361441.914455509,0.04462762379364581,25.198466375651613,25.196930030400132,952.9012578320466,5.13537682714303e-06,0.010181396394869905,10.522836806136823,4130457.283276813,0.011042945656381455
-0.04428682832277339,1127853.7572210098,716571.8085110509,94.777,94.77179677693296,10362927.902501855,10361441.8698219,0.04462762395368867,25.198466282259147,25.196929936998757,952.9012568341998,5.135376820326494e-06,0.010181396393641302,10.522836845143456,4130457.28875945,0.011042945708879863
-0.04403546431081882,1127853.7572210098,716571.8090011537,94.777,94.77179677688576,10362927.857874231,10361441.825188315,0.04462762411373156,25.198466188866696,25.196929843597392,952.9012558363538,5.135376813509962e-06,0.0101813963924127,10.522836884150088,4130457.2942420854,0.011042945761378264
-0.04378410029886425,1127853.7572210098,716571.8094912565,94.777,94.77179677683856,10362927.813246608,10361441.780554717,0.044627624273774424,25.19846609547423,25.19692975019602,952.9012548385073,5.135376806693428e-06,0.0101813963911841,10.52283692315672,4130457.2997247213,0.011042945813876671
-0.04353273628690968,1127853.7572210098,716571.8099813592,94.777,94.77179677679136,10362927.768618984,10361441.73592112,0.04462762443381727,25.198466002081783,25.19692965679466,952.9012538406605,5.1353767998768945e-06,0.010181396389955497,10.52283696216335,4130457.3052073573,0.011042945866375076
