x_nodes,h_total,u,T_total,T,p_total,p,dp_total,rho_total,rho,c,eta,Lambda,v,Re,Ma
-0.08795033511597823,-92039.2312531972,-97103.98894814913,112.7279,112.72781722045681,5254214.0,5253884.40699184,0.023725419620198578,1037.397982661795,1037.3972472442283,748.5740044680444,0.0001221851283821257,0.013723896129468362,0.8913416411686949,454069.3505730242,0.0011907194690818908
-0.08769863452079216,-92039.2312531972,-97103.98893469926,112.7279,112.72781722045674,5254213.976274581,5253884.383266519,0.023725419620936605,1037.397982575599,1037.3972471580319,748.5740042857005,0.0001221851283432776,0.013723896128754968,0.8913416412427556,454069.35071739304,0.001190719469470872
-0.08744693392560608,-92039.2312531972,-97103.98892124946,112.7279,112.72781722045664,5254213.952549161,5253884.359541005,0.02372541962167465,1037.397982489402,1037.3972470718345,748.5740041033546,0.00012218512830442914,0.013723896128041571,0.8913416413168171,454069.35086176323,0.0011907194698598574
-0.08719523333042001,-92039.2312531972,-97103.98890779953,112.7279,112.72781722045657,5254213.928823742,5253884.335815531,0.023725419622412685,1037.3979824032056,1037.3972469856378,748.57400392101,0.00012218512826558072,0.013723896127328172,0.8913416413908782,454069.35100613337,0.00119071947024884
-0.08694353273523395,-92039.2312531972,-97103.98889434972,112.7279,112.72781722045647,5254213.905098323,5253884.312090087,0.023725419623150723,1037.3979823170087,1037.3972468994405,748.5740037386643,0.00012218512822673215,0.01372389612661477,0.8913416414649398,454069.35115050396,0.0011907194706378254
-0.08669183214004787,-92039.2312531972,-97103.9888808998,112.7279,112.72781722045639,5254213.8813729035,5253884.288364369,0.023725419623888754,1037.397982230812,1037.3972468132433,748.5740035563189,0.00012218512818788343,0.013723896125901367,0.8913416415390012,454069.3512948752,0.0011907194710268098
-0.0864401315448618,-92039.2312531972,-97103.9888674497,112.7279,112.72781722045629,5254213.857647484,5253884.264638722,0.023725419624626782,1037.3979821446153,1037.397246727046,748.574003373973,0.0001221851281490346,0.013723896125187957,0.8913416416130628,454069.3514392468,0.001190719471415795
-0.08618843094967572,-92039.2312531972,-97103.98885400011,112.7279,112.72781722045619,5254213.833922065,5253884.240913419,0.023725419625364823,1037.397982058419,1037.3972466408495,748.5740031916288,0.00012218512811018655,0.013723896124474565,0.8913416416871237,454069.3515836156,0.0011907194718047771
-0.08593673035448966,-92039.2312531972,-97103.98884055014,112.7279,112.72781722045612,5254213.810196646,5253884.217188011,0.023725419626102848,1037.3979819722226,1037.3972465546526,748.5740030092843,0.00012218512807133812,0.013723896123761166,0.8913416417611848,454069.3517279856,0.0011907194721937596
-0.08568502975930359,-92039.2312531972,-97103.98882710023,112.7279,112.72781722045602,5254213.786471226,5253884.193462437,0.02372541962684089,1037.3979818860257,1037.3972464684553,748.5740028269388,0.00012218512803248966,0.013723896123047762,0.8913416418352464,454069.35187235585,0.0011907194725827444
-0.08543332916411751,-92039.2312531972,-97103.98881365049,112.7279,112.72781722045595,5254213.762745807,5253884.169737138,0.02372541962757893,1037.3979817998295,1037.3972463822586,748.5740026445943,0.00012218512799364148,0.013723896122334371,0.8913416419093074,454069.35201672505,0.001190719472971727
-0.08518162856893144,-92039.2312531972,-97103.98880020037,112.7279,112.72781722045585,5254213.739020388,5253884.146011412,0.02372541962831696,1037.3979817136324,1037.3972462960612,748.574002462248,0.0001221851279547925,0.013723896121620961,0.8913416419833691,454069.3521610972,0.001190719473360713
-0.08492992797374538,-92039.2312531972,-97103.98878675053,112.7279,112.72781722045576,5254213.715294968,5253884.12228603,0.023725419629054997,1037.397981627436,1037.3972462098643,748.5740022799033,0.00012218512791594425,0.013723896120907565,0.8913416420574303,454069.35230546666,0.0011907194737496962
-0.0846782273785593,-92039.2312531972,-97103.9887733008,112.7279,112.72781722045566,5254213.691569549,5253884.098560533,0.023725419629793035,1037.3979815412395,1037.3972461236674,748.5740020975584,0.00012218512787709587,0.013723896120194165,0.8913416421314915,454069.35244983656,0.0011907194741386795
-0.08442652678337323,-92039.2312531972,-97103.98875985094,112.7279,112.72781722045559,5254213.66784413,5253884.074835095,0.023725419630531076,1037.397981455043,1037.3972460374705,748.5740019152138,0.00012218512783824744,0.013723896119480768,0.8913416422055528,454069.35259420675,0.0011907194745276624
-0.08417482618818715,-92039.2312531972,-97103.98874640094,112.7279,112.72781722045549,5254213.64411871,5253884.051109408,0.023725419631269097,1037.397981368846,1037.3972459512734,748.5740017328675,0.0001221851277993986,0.01372389611876736,0.8913416422796141,454069.35273857834,0.0011907194749166481
-0.08392312559300108,-92039.2312531972,-97103.98873295118,112.7279,112.72781722045539,5254213.620393291,5253884.027383912,0.023725419632007135,1037.3979812826497,1037.3972458650762,748.5740015505222,0.00012218512776055035,0.01372389611805396,0.8913416423536755,454069.3528829479,0.0011907194753056325
-0.08367142499781502,-92039.2312531972,-97103.98871950124,112.7279,112.72781722045532,5254213.596667872,5253884.003658603,0.023725419632745166,1037.397981196453,1037.3972457788793,748.574001368178,0.00012218512772170197,0.013723896117340564,0.8913416424277366,454069.35302731773,0.0011907194756946146
-0.08341972440262894,-92039.2312531972,-97103.9887060513,112.7279,112.72781722045522,5254213.5729424525,5253883.97993289,0.023725419633483204,1037.3979811102563,1037.397245692682,748.5740011858315,0.0001221851276828532,0.013723896116627159,0.8913416425017983,454069.35317168914,0.001190719476083601
-0.08316802380744287,-92039.2312531972,-97103.98869260158,112.7279,112.72781722045514,5254213.549217033,5253883.956207561,0.023725419634221232,1037.3979810240598,1037.3972456064855,748.5740010034882,0.000122185127644005,0.01372389611591376,0.8913416425758591,454069.3533160584,0.0011907194764725815
